
> womens-cold-plunge@0.0.1 dev
> astro dev

16:13:42 [types] Generated 11ms

 astro  v4.15.12 ready in 1062 ms

┃ Local    http://localhost:4321/
┃ Network  use --host to expose

16:13:44 watching for file changes...
16:13:44 [200] /blog/menstrual-cycle-symptoms 250ms
16:13:44 [404] /api/placeholder/800/400 1ms
16:13:44 [404] /api/placeholder/800/400 1ms
16:13:54 [200] /blog/menstrual-cycle-symptoms 5ms
16:13:54 [404] /api/placeholder/800/400 1ms
16:13:54 [404] /api/placeholder/800/400 1ms
16:13:55 [200] /blog/menstrual-cycle-symptoms 4ms
16:13:55 [404] /api/placeholder/800/400 1ms
16:13:55 [404] /api/placeholder/800/400 1ms
16:13:56 [200] /blog/menstrual-cycle-symptoms 4ms
16:13:56 [404] /api/placeholder/800/400 0ms
16:13:56 [404] /api/placeholder/800/400 1ms
16:13:56 [200] /blog/menstrual-cycle-symptoms 3ms
16:13:56 [404] /api/placeholder/800/400 0ms
16:13:56 [404] /api/placeholder/800/400 0ms
16:13:57 [200] /blog/menstrual-cycle-symptoms 3ms
16:13:58 [404] /api/placeholder/800/400 1ms
16:13:58 [404] /api/placeholder/800/400 0ms
16:13:58 [200] /blog/menstrual-cycle-symptoms 3ms
16:13:59 [404] /api/placeholder/800/400 0ms
16:13:59 [404] /api/placeholder/800/400 1ms
16:13:59 [200] /blog/menstrual-cycle-symptoms 3ms
16:13:59 [404] /api/placeholder/800/400 0ms
16:13:59 [404] /api/placeholder/800/400 0ms
16:13:59 [200] /blog/menstrual-cycle-symptoms 3ms
16:13:59 [404] /api/placeholder/800/400 0ms
16:13:59 [404] /api/placeholder/800/400 0ms
16:13:59 [200] /blog/menstrual-cycle-symptoms 3ms
16:13:59 [404] /api/placeholder/800/400 0ms
16:14:00 [404] /api/placeholder/800/400 1ms
16:14:00 [200] /blog/menstrual-cycle-symptoms 3ms
16:14:00 [404] /api/placeholder/800/400 0ms
16:14:00 [404] /api/placeholder/800/400 1ms
16:14:00 [200] /blog/menstrual-cycle-symptoms 3ms
16:14:00 [404] /api/placeholder/800/400 0ms
16:14:00 [404] /api/placeholder/800/400 0ms
16:14:00 [200] /blog/menstrual-cycle-symptoms 3ms
16:14:00 [404] /api/placeholder/800/400 0ms
16:14:00 [404] /api/placeholder/800/400 0ms
16:14:01 [200] /blog/menstrual-cycle-symptoms 3ms
